anio,region,indice,valor,error_estandar
2022,Coquimbo,FGT2_severidad,4.817120745519982,0.3314718921888418
2024,Coquimbo,FGT2_severidad,3.687443314648136,0.25633574854544133
2009,Valparaíso,FGT2_severidad,6.857800355948701,0.38765865170691477
2011,Valparaíso,FGT2_severidad,7.1202604555987685,0.45823296310401673
2013,Valparaíso,FGT2_severidad,4.776106353178519,0.2986151020909631
2015,Valparaíso,FGT2_severidad,3.682517092437694,0.1886125520279689
2017,Valparaíso,FGT2_severidad,2.9086809996118808,0.16193435277143284
2020,Valparaíso,FGT2_severidad,7.019690093253382,0.31132892692965275
2022,Valparaíso,FGT2_severidad,3.51639837195321,0.2107745772303851
2024,Valparaíso,FGT2_severidad,2.6837195875964395,0.13499016913653314
2009,Metropolitana,FGT2_severidad,5.72366913746761,0.2307264275801409
2011,Metropolitana,FGT2_severidad,5.241365028724513,0.24276663169474771
2013,Metropolitana,FGT2_severidad,3.269346561201221,0.16628205290637516
2015,Metropolitana,FGT2_severidad,2.722918702391789,0.15734608200156255
2017,Metropolitana,FGT2_severidad,2.643648383227113,0.13418385357060703
2020,Metropolitana,FGT2_severidad,6.264328583857533,0.23581172654527274
2022,Metropolitana,FGT2_severidad,2.6997125704737823,0.11982288131859838
2024,Metropolitana,FGT2_severidad,1.9633117547550614,0.08725668692524924
2009,O'Higgins,FGT2_severidad,6.390036551845989,0.421708405273744
2011,O'Higgins,FGT2_severidad,4.707628905009182,0.43128388932117295
2013,O'Higgins,FGT2_severidad,4.156668644930365,0.2910970485820032
2015,O'Higgins,FGT2_severidad,4.02117737130451,0.27186204046054524
2017,O'Higgins,FGT2_severidad,3.6471724598390627,0.23697432331722082
2020,O'Higgins,FGT2_severidad,5.986293307633043,0.3852008498833434
2022,O'Higgins,FGT2_severidad,3.8039063140052747,0.22750951715476206
2024,O'Higgins,FGT2_severidad,2.8635184800465336,0.211454057336028
2009,Maule,FGT2_severidad,9.708682404559704,0.4922742837089224
2011,Maule,FGT2_severidad,7.005047791677368,0.32591712215674373
2013,Maule,FGT2_severidad,5.0167002078742,0.3456532432096461
2015,Maule,FGT2_severidad,4.634963453832888,0.26618729947237046
2017,Maule,FGT2_severidad,3.92268599823336,0.219273961144696
2020,Maule,FGT2_severidad,6.3722841952485,0.3884643513283487
2022,Maule,FGT2_severidad,4.526406759884715,0.2306981132239611
2024,Maule,FGT2_severidad,4.235586777590101,0.22799603788028608
2017,Ñuble,FGT2_severidad,5.575151311612161,0.3207291377277252
2020,Ñuble,FGT2_severidad,7.652325992802993,0.684619808104089
2022,Ñuble,FGT2_severidad,5.74366615281504,0.3570134027850854
2024,Ñuble,FGT2_severidad,4.228103387062057,0.27466865440619015
2009,Biobío,FGT2_severidad,9.79292045878266,0.3573455836091838
2011,Biobío,FGT2_severidad,9.062907727423882,0.6035933880187182
2013,Biobío,FGT2_severidad,6.564368804609404,0.303325683306059
2015,Biobío,FGT2_severidad,5.409960572344615,0.1922374751722877
2017,Biobío,FGT2_severidad,4.350026917289859,0.22073323335684947
2020,Biobío,FGT2_severidad,7.45199744167727,0.3929041715595263
2022,Biobío,FGT2_severidad,3.9216003060178557,0.17214571005846369
2024,Biobío,FGT2_severidad,2.837833249102949,0.1299153543150935
